,Loss_G,Loss_D
250,1.4181771,0.7203193
251,1.3976296,0.7226625
252,1.322024,0.7594937
253,1.3401041,0.7560843
254,1.2631721,0.7763248
255,1.3505291,0.74864984
256,1.29317,0.77002716
257,1.296837,0.79747516
258,1.4168636,0.6969979
259,1.3142259,0.74971366
260,1.357725,0.7607523
261,1.3195649,0.73372364
262,1.3650392,0.7339267
263,1.3484217,0.72126997
264,1.3927815,0.72306794
265,1.3954616,0.710461
266,1.4157803,0.72280747
267,1.3968495,0.7016853
268,1.3711141,0.7362834
269,1.3550582,0.7240102
270,1.4016622,0.7310503
271,1.4393492,0.65748733
272,1.4216851,0.69419616
273,1.4563571,0.6841245
274,1.3605524,0.73107964
275,1.3977876,0.7160756
276,1.4817119,0.69131935
277,1.4217333,0.7123983
278,1.4383409,0.6743661
279,1.5059052,0.6606505
280,1.4129213,0.68203294
281,1.4556483,0.69209
282,1.5711846,0.6259888
283,1.3712769,0.71534973
284,1.5366567,0.6679011
285,1.5287493,0.62198263
286,1.4900663,0.67264724
287,1.4720287,0.6530833
288,1.4902467,0.65005493
289,1.4772139,0.6610979
290,1.4789686,0.6390982
291,1.4943317,0.6306892
292,1.5448005,0.64840674
293,1.5390847,0.6334846
294,1.5807903,0.6210733
295,1.5646961,0.6458416
296,1.5298048,0.6540406
297,1.4390426,0.6694157
298,1.574753,0.60772884
299,1.5040536,0.6431617
300,1.4474664,0.6593181
301,1.6357648,0.6004409
302,1.6365819,0.6070504
303,1.5945913,0.62228256
304,1.5489221,0.6089977
305,1.6327554,0.6125114
306,1.45792,0.6479313
307,1.6668311,0.59123534
308,1.589875,0.5729156
309,1.5977931,0.59577763
310,1.5702839,0.6030676
311,1.6006575,0.5587025
312,1.5903277,0.60234386
313,1.5480711,0.6494955
314,1.5844074,0.58060825
315,1.5313239,0.6310187
316,1.6068033,0.5954721
317,1.6559317,0.59389824
318,1.5892907,0.5932508
319,1.6745174,0.57534003
320,1.6384629,0.59722745
321,1.635921,0.56291
322,1.7002368,0.5564796
323,1.6719455,0.55147195
324,1.6518127,0.5618628
325,1.6253276,0.58219135
326,1.6441449,0.56111574
327,1.7901206,0.5361838
328,1.7676531,0.5608493
329,1.6589246,0.56618434
330,1.6535987,0.5736564
331,1.7363394,0.5180749
332,1.5672152,0.60205126
333,1.8006797,0.50872445
334,1.8011129,0.50088686
335,1.6567136,0.58619195
336,1.748954,0.5026494
337,1.763159,0.4905289
338,1.8009458,0.5077667
339,1.6810662,0.5234797
340,1.779257,0.5216312
341,1.7218015,0.52114856
342,1.8167479,0.53274196
343,1.8112047,0.4720688
344,1.6927274,0.5603752
345,1.7337879,0.53705275
346,1.810624,0.50623345
347,1.6993929,0.5114467
348,1.9010584,0.48102582
349,1.8833976,0.4740286
350,1.7323174,0.48988092
351,1.8146632,0.49677002
352,1.7831206,0.5328081
353,1.7531383,0.5409944
354,1.7588258,0.52773786
355,1.8946605,0.45815957
356,1.9716477,0.44559336
357,1.8591491,0.48213986
358,1.7332181,0.5257446
359,1.9345771,0.46930048
360,1.9042445,0.43547413
361,1.8586718,0.48229948
362,1.9189044,0.42884725
363,1.9316907,0.46241984
364,1.8397399,0.49776676
365,1.8944929,0.4424504
366,1.8855463,0.48333058
367,1.983778,0.42447102
368,1.9741224,0.41860473
369,1.9927135,0.4775386
370,1.9942918,0.41886672
371,1.9398867,0.46680376
372,2.0939016,0.3919954
373,1.7834799,0.5631085
374,1.8614411,0.4811344
375,2.1387453,0.40189594
376,1.9500537,0.4287031
377,1.9156032,0.4469832
378,1.7867614,0.4883374
379,1.914914,0.45552683
380,1.9704573,0.44579145
381,2.0405116,0.37962943
382,2.1113658,0.41674864
383,1.9752729,0.46005222
384,1.983614,0.42145738
385,1.9885699,0.47175488
386,2.0596297,0.39469865
387,1.9839693,0.45665678
388,2.0496447,0.40398574
389,2.0417256,0.42507517
390,2.0128496,0.40062946
391,2.0963085,0.4048216
392,2.0356917,0.450624
393,2.0444252,0.43834537
394,1.9861745,0.44877732
395,1.9978777,0.4083987
396,2.0760565,0.41346312
397,1.9969385,0.4175112
398,2.0754404,0.3980379
399,2.0467482,0.40110457
400,2.06437,0.47040716
401,2.0758138,0.39335555
402,2.0978742,0.435149
403,1.9806927,0.40941703
404,2.064796,0.40409476
405,2.0945902,0.40308273
406,2.0616236,0.3898977
407,2.1832635,0.36407244
408,2.0664196,0.38449422
409,2.1770508,0.42102712
410,2.0202708,0.3869618
411,2.2919328,0.34870234
412,2.200384,0.37436107
413,2.1878166,0.35174888
414,2.3089051,0.37965918
415,2.0274844,0.42027655
416,2.1418612,0.38467392
417,2.0135386,0.41186717
418,2.2391548,0.39516824
419,2.166712,0.35104334
420,2.1704018,0.36947554
