,Loss_G,Loss_D
397,3.3389895,-0.4659934
398,3.2428126,-0.5838666
399,2.9112234,-0.49232602
400,3.0135057,-0.54827774
401,3.0525477,-0.43726423
402,3.0480356,-0.49718636
403,3.1710892,-0.54350364
404,3.3104649,-0.57735854
405,2.9807072,-0.47485322
406,3.1141958,-0.58241343
407,3.2045393,-0.49529362
408,2.899599,-0.3997029
409,2.9745715,-0.47337025
410,2.9522512,-0.5092834
411,3.3188796,-0.47165743
412,3.094122,-0.39101818
413,3.0179095,-0.47162992
414,3.1289735,-0.5263256
415,3.3546152,-0.51356786
416,3.2890563,-0.44371706
417,3.062375,-0.53685755
418,3.323781,-0.47037074
419,3.118873,-0.44021505
420,2.948306,-0.51599026
421,3.0516093,-0.51833403
422,3.2656312,-0.40287527
423,2.9032102,-0.5523054
424,2.960155,-0.48381546
425,2.864348,-0.50249916
426,3.0035632,-0.59978145
427,3.1182861,-0.47998407
428,3.1605082,-0.46347088
429,2.7830734,-0.43268985
430,2.8712173,-0.5157242
431,2.9088597,-0.4428212
432,2.660829,-0.5687522
433,2.8345902,-0.55144
434,2.7130017,-0.44563624
435,2.8980045,-0.50563776
436,2.7897334,-0.47801024
437,2.550776,-0.51145184
438,2.6456106,-0.61450016
439,2.8911173,-0.6379106
440,3.0086174,-0.57784724
441,2.5913787,-0.47129184
442,2.81774,-0.583115
443,2.7037137,-0.48772472
444,2.6666086,-0.59035647
445,2.9587932,-0.6251515
446,2.8145127,-0.4991278
447,2.8477647,-0.5375287
448,2.6849022,-0.44810462
449,2.6790414,-0.7242307
450,2.81042,-0.6475855
451,2.8979845,-0.37060535
452,2.7877126,-0.4130042
453,2.9915652,-0.60837656
454,2.9330997,-0.67257965
455,2.7053456,-0.6048081
456,2.560467,-0.4106867
457,2.5616074,-0.6093588
458,2.3932014,-0.673988
459,2.7355433,-0.6263693
460,2.8518562,-0.4694128
461,2.5090024,-0.41248775
462,2.6578708,-0.5518658
463,2.9956956,-0.5425682
464,3.2803106,-0.57757217
465,3.0597034,-0.40498877
466,3.0579915,-0.5614636
467,2.977762,-0.47513333
468,2.9093146,-0.59152496
469,2.736743,-0.53923213
470,2.7450352,-0.4276396
471,2.7261739,-0.58273935
472,2.896082,-0.62539923
473,3.124411,-0.5011648
474,3.0787692,-0.6211644
475,2.7376614,-0.5597828
476,2.8538804,-0.62379324
